Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,548.799988,558.000000,542.799988,544.400024,541.654236,6956165
2020-12-17,547.799988,557.000000,545.599976,546.200012,543.445129,2418878
2020-12-18,545.000000,545.799988,532.599976,533.000000,530.311707,3796691
2020-12-21,526.000000,545.719971,503.980011,522.799988,520.163147,3335292
2020-12-22,518.599976,533.000000,515.200012,530.000000,527.326843,1847935
2020-12-23,528.000000,546.400024,528.000000,544.599976,541.853210,2087867
2020-12-24,550.000000,550.799988,542.799988,547.200012,544.440125,758588
2020-12-29,560.599976,571.599976,549.599976,563.000000,560.160400,2709936
2020-12-30,560.200012,569.799988,557.000000,557.000000,554.190674,1505006
2020-12-31,544.400024,552.200012,536.400024,549.000000,546.231018,1322830
2021-01-04,559.400024,567.200012,541.000000,541.000000,538.271362,3593964
2021-01-05,537.000000,548.799988,528.400024,537.000000,534.291565,3756376
2021-01-06,543.799988,574.000000,539.000000,571.599976,568.716980,4788808
2021-01-07,576.599976,579.200012,564.799988,570.200012,567.324097,2768521
2021-01-08,575.400024,575.400024,563.599976,566.200012,563.344299,2361609
2021-01-11,565.000000,566.000000,544.200012,545.400024,542.649170,2875627
2021-01-12,545.200012,551.400024,540.799988,547.599976,544.838074,2124093
2021-01-13,550.000000,551.599976,534.599976,536.799988,534.092529,4713867
2021-01-14,539.599976,546.799988,537.200012,543.400024,540.659302,2291889
2021-01-15,540.599976,546.400024,532.200012,537.000000,534.291565,2119564
2021-01-18,538.599976,543.000000,528.200012,534.000000,531.306702,1986748
2021-01-19,536.000000,541.200012,521.400024,522.799988,520.163147,2492026
2021-01-20,524.599976,542.508972,519.000000,541.799988,539.067322,3269418
2021-01-21,539.200012,545.000000,521.400024,530.000000,527.326843,4649764
2021-01-22,529.200012,529.200012,512.799988,515.799988,513.198425,2012522
2021-01-25,514.400024,516.400024,489.600006,492.799988,490.314453,3679596
2021-01-26,495.399994,514.000000,491.200012,506.799988,504.243835,3475644
2021-01-27,505.000000,514.400024,491.500000,499.500000,496.980682,4317958
2021-01-28,493.799988,510.600006,484.299988,507.600006,505.039825,2982515
2021-01-29,496.799988,504.799988,489.867004,499.600006,497.080170,2425601
2021-02-01,501.200012,506.799988,497.299988,503.799988,501.258972,2176854
2021-02-02,507.799988,532.400024,505.399994,526.599976,523.943970,3912146
2021-02-03,531.000000,543.000000,518.400024,525.000000,522.352051,3136031
2021-02-04,525.400024,536.000000,520.400024,525.400024,522.750061,1915754
2021-02-05,527.200012,533.000000,523.799988,523.799988,521.158081,3004132
2021-02-08,526.000000,527.400024,512.200012,515.000000,512.402527,2546701
2021-02-09,515.200012,517.000000,508.399994,513.000000,510.412598,3273915
2021-02-10,516.000000,518.000000,501.799988,505.000000,502.452942,4339231
2021-02-11,505.799988,512.799988,501.600006,508.399994,505.835785,9655469
2021-02-12,505.399994,518.599976,503.000000,508.000000,505.437805,5991898
2021-02-15,512.400024,529.000000,512.400024,528.000000,525.336914,4403421
2021-02-16,526.599976,529.200012,514.400024,517.400024,514.790405,2198016
2021-02-17,515.000000,519.599976,506.399994,510.600006,508.024689,3965297
2021-02-18,511.799988,512.799988,500.399994,502.399994,499.866058,2617719
2021-02-19,502.399994,510.600006,498.399994,509.000000,506.432770,4467255
2021-02-22,500.000000,537.200012,496.399994,536.599976,533.893555,6440511
2021-02-23,540.400024,571.000000,540.000000,555.200012,552.399780,5394146
2021-02-24,549.000000,555.000000,540.400024,550.799988,548.021912,3288964
2021-02-25,551.799988,567.799988,462.200012,555.000000,552.200745,4561629
2021-02-26,541.000000,565.369995,539.799988,550.799988,548.021912,16348380
2021-03-01,550.000000,552.599976,535.000000,543.799988,541.057251,4494141
2021-03-02,541.000000,555.200012,539.000000,551.400024,548.618958,6079854
2021-03-03,558.799988,575.200012,553.799988,567.000000,564.140259,4154588
2021-03-04,560.000000,567.400024,558.000000,559.000000,556.180603,5082077
2021-03-05,550.400024,566.020020,550.000000,555.000000,552.200745,5287243
2021-03-08,553.799988,588.400024,553.000000,586.599976,583.641357,3660852
2021-03-09,587.599976,600.400024,584.799988,588.000000,585.034302,8153605
2021-03-10,583.200012,588.400024,576.000000,579.200012,576.278687,1728951
2021-03-11,580.599976,584.228027,568.400024,571.799988,568.916016,3230135
2021-03-12,568.599976,572.799988,559.000000,571.799988,568.916016,2357626
2021-03-15,576.400024,580.400024,558.200012,563.400024,560.558411,3197109
2021-03-16,569.599976,572.599976,561.599976,571.400024,568.518066,3203827
2021-03-17,571.200012,579.799988,568.000000,575.000000,572.099854,2986655
2021-03-18,578.799988,603.599976,578.799988,598.599976,595.580811,3712069
2021-03-19,591.599976,599.599976,580.599976,590.200012,587.223206,9283029
2021-03-22,588.000000,591.599976,576.000000,589.400024,586.427246,6400435
2021-03-23,582.200012,587.599976,569.947998,571.200012,568.319031,3732078
